cp,lat,lon,display
01070,19.3439591,-99.1862473,"01070, Ciudad de México, Álvaro Obregón, Ciudad de México, México"
01120,19.4004085,-99.2022539,"01120, Ciudad de México, Álvaro Obregón, Ciudad de México, México"
01180,19.3890739,-99.1920328,"01180, Ciudad de México, Álvaro Obregón, Ciudad de México, México"
01710,19.357255,-99.2057034,"01710, Ciudad de México, Álvaro Obregón, Ciudad de México, México"
01830,19.3440965,-99.2598519,"01830, Ciudad de México, Álvaro Obregón, Ciudad de México, México"
02040,19.4813057,-99.1788492,"02040, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02070,19.4733404,-99.1857531,"02070, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02120,19.5034022,-99.1940998,"02120, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02250,19.4922592,-99.1753084,"02250, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02300,19.4934018,-99.1616751,"02300, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02400,19.4896336,-99.2044833,"02400, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02410,19.5039271,-99.2089743,"02410, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02440,19.4906633,-99.2117468,"02440, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02459,19.4893306,-99.1981819,"02459, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02490,19.4833084,-99.1917869,"02490, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02700,19.4750508,-99.2033588,"02700, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02719,19.4787157,-99.2166713,"02719, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02720,19.4808728,-99.2042367,"02720, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02750,19.477482,-99.2101831,"02750, Ciudad de México, Azcapotzalco, Ciudad de México, México"
02760,19.4780218,-99.1960402,"02760, Ciudad de México, Azcapotzalco, Ciudad de México, México"
03010,19.4030247,-99.1474424,"03010, Ciudad de México, Benito Juárez, Ciudad de México, México"
03020,19.3905208,-99.1579016,"03020, Ciudad de México, Benito Juárez, Ciudad de México, México"
03100,19.3837912,-99.1681403,"03100, Ciudad de México, Benito Juárez, Ciudad de México, México"
03320,19.3685355,-99.1576929,"03320, Ciudad de México, Benito Juárez, Ciudad de México, México"
03720,19.3806766,-99.178845,"03720, Ciudad de México, Benito Juárez, Ciudad de México, México"
03740,19.3770859,-99.1801311,"03740, Ciudad de México, Benito Juárez, Ciudad de México, México"
03800,19.3915495,-99.1850958,"03800, Ciudad de México, Benito Juárez, Ciudad de México, México"
04100,19.3543896,-99.1636671,"04100, Ciudad de México, Coyoacán, Ciudad de México, México"
04200,19.3477849,-99.1322793,"04200, Ciudad de México, Coyoacán, Ciudad de México, México"
04330,19.3361917,-99.156721,"04330, Ciudad de México, Coyoacán, Ciudad de México, México"
04510,19.3226115,-99.1837906,"04510, Ciudad de México, Coyoacán, Ciudad Universitaria, Ciudad de México, México"
04700,19.3070561,-99.1760586,"04700, Ciudad de México, Coyoacán, Ciudad de México, México"
04830,19.3192228,-99.1283047,"04830, Ciudad de México, Coyoacán, Ciudad de México, México"
05120,19.3873815,-99.2535539,"05120, Ciudad de México, Cuajimalpa de Morelos, Ciudad de México, México"
